preset,delta_omega_tri,k_strong,k_weak,n_runs,r_mean,r_sd,plv_pairmean_mean,plv_pairmean_sd,coalition_mean,coalition_sd,leader_dom_mean,leader_dom_sd,leader_antiphase_dom_mean,leader_antiphase_dom_sd
leader_0,1.0,-1.2,0.0,5,0.5695553435607984,0.01835815472359091,0.9591417900759129,0.013373643739851768,0.06605272583471034,0.02222155744373609,-0.04259518348312676,0.03495706800304302,0.18530409880544796,1.371730880391187
leader_0,1.0,-1.2,0.1,5,0.5614986217624995,0.03090358085801869,0.9596681644260755,0.015632580009866524,0.06691265550700554,0.026768383479400686,-0.030904280358403445,0.041967304307635935,0.9026329012967083,1.065248129145478
leader_0,1.0,-1.2,0.2,5,0.57865876787493,0.019773211850888723,0.9386372265210671,0.03608861944304333,0.0960548657508045,0.05534596797706085,0.03079351155438783,0.03695814289596858,1.1042960653362661,0.1647673086475368
leader_0,1.2,-1.2,-0.2,5,0.5472015449890626,0.01071583196350169,0.9173891547895419,0.01765597774434177,0.13497943384503153,0.0256966172978336,-0.05943747232955654,0.06458103839925737,-0.530376318647573,1.2033632779603063
leader_0,1.2,-1.2,-0.1,5,0.5484467743815695,0.012388516452025137,0.9100239615474706,0.02657303042870542,0.14632500892942296,0.04292759997694278,-0.10389702967888881,0.03614829295639403,-0.7039170341928745,0.4700029006659834
leader_0,1.2,-1.2,0.0,5,0.5529330177592741,0.014888356265582868,0.9036190314612075,0.030681467635952506,0.15765683111475465,0.052874806197506216,-0.10952291435592254,0.04363385366894624,-0.6564296941392651,0.5297760378912209
leader_0,1.2,-1.2,0.1,5,0.553071190856481,0.013928465018468155,0.9137170210531298,0.025809288574589893,0.1407177071412429,0.04035237710474508,-0.095948047092452,0.031105877896641,-0.5799182294923403,0.5807327312664502
leader_0,1.2,-1.2,0.2,5,0.5534588000352553,0.007124975391656007,0.9392143047767639,0.01793038025835675,0.09385693882583508,0.026438292451373895,-0.0638858866835746,0.04832444745004793,-0.11372296866406766,1.043271778115682
leader_0,1.5,-1.2,-0.2,5,0.540170446810637,0.00949869090583455,0.8691095419968379,0.02555087684675947,0.21576653308797095,0.03972803685421544,-0.053239191480288925,0.06553541312207124,-0.013979573716159877,0.49419925488722116
leader_0,1.5,-1.2,-0.1,5,0.5389720937257042,0.00892059583871133,0.835049182191117,0.03856644718767637,0.2728552085732567,0.06857656634160543,-0.0038661278328426586,0.039801677496731025,-0.32164935845443626,0.4551370804342185
leader_0,1.5,-1.2,0.0,5,0.5390051365639592,0.008798916152401642,0.8307209158500676,0.03409775608973176,0.28222727769233263,0.05813088821298071,-0.003054629561867017,0.024951729794174347,-0.4455156429781251,0.664929886007629
leader_0,1.5,-1.2,0.1,5,0.5418806973017344,0.00872403780146598,0.8501228959424253,0.025519191894686887,0.2475045294240429,0.04419352579971526,-0.022801403096991746,0.023023256252975285,-0.24150162735516906,0.46805303809131643
leader_0,1.5,-1.2,0.2,5,0.5450893940186395,0.008300026513322496,0.8722754423964465,0.018688195140646957,0.19968827482884108,0.02572390580005699,-0.05790165711038562,0.04171693424841376,-0.019553273677993043,0.50154717269289
leader_0,1.8,-1.2,-0.2,5,0.5286414216267619,0.005391915428852711,0.801973546990282,0.032407535349070794,0.32368512173568165,0.05295051360692407,-0.23489858054761478,0.04978993600204536,-0.860780674088278,0.3135273991891456
