k,delta_omega,seed,dt,t_max,plv_window_seconds,r_mean_last,plv_mean_last,anti_mean_last,omega_0,omega_1
-2.0,0.6,5,0.01,120.0,2.0,0.15175769928260094,1.0000000000005937,0.9030133159793207,1.6405282184338807,1.0405282184338807
-2.0,0.8,1,0.01,120.0,2.0,0.2043096436890569,1.000000000000249,0.8690101195657062,1.987540175167446,1.1875401751674457
-2.0,0.8,2,0.01,120.0,2.0,0.20430964368915105,1.0000000000002116,0.869010119565691,1.8749728705234587,1.074972870523459
-2.0,0.8,3,0.01,120.0,2.0,0.2043096436892271,1.0000000000003664,0.8690101195656206,1.861394056755325,1.0613940567553253
-2.0,0.8,4,0.01,120.0,2.0,0.20430964368927512,1.0000000000004623,0.8690101195655158,1.83801186662969,1.0380118666296898
-2.0,0.8,5,0.01,120.0,2.0,0.2043096436892834,1.000000000000496,0.8690101195655263,1.7405282184338806,0.9405282184338807
-1.5,0.0,1,0.01,120.0,2.0,2.0777260419195005e-13,1.0,0.9999999999998687,1.5875401751674458,1.5875401751674458
-1.5,0.0,2,0.01,120.0,2.0,1.0354640339309669e-13,1.0,0.9999999999999384,1.4749728705234588,1.4749728705234588
-1.5,0.0,3,0.01,120.0,2.0,8.820609606183151e-15,1.0,0.999999999999991,1.4613940567553252,1.4613940567553252
-1.5,0.0,4,0.01,120.0,2.0,8.67571402382648e-14,1.0,0.999999999999947,1.43801186662969,1.43801186662969
-1.5,0.0,5,0.01,120.0,2.0,8.852147145707534e-14,1.0,0.9999999999999435,1.3405282184338807,1.3405282184338807
-1.5,0.2,1,0.01,120.0,2.0,0.06681597929654848,0.9999999999991115,0.9574319129958178,1.687540175167446,1.4875401751674457
-1.5,0.2,2,0.01,120.0,2.0,0.06681597929666067,0.9999999999991426,0.957431912995741,1.574972870523459,1.3749728705234587
-1.5,0.2,3,0.01,120.0,2.0,0.06681597929676371,0.9999999999991888,0.9574319129956831,1.5613940567553253,1.361394056755325
-1.5,0.2,4,0.01,120.0,2.0,0.06681597929682333,0.9999999999991666,0.9574319129956801,1.53801186662969,1.3380118666296898
-1.5,0.2,5,0.01,120.0,2.0,0.06681597929682742,0.999999999999206,0.9574319129956395,1.4405282184338808,1.2405282184338806
-1.5,0.4,1,0.01,120.0,2.0,0.13455701458209157,1.000000000000447,0.9140777224811161,1.7875401751674458,1.3875401751674459
