seed,n_students,dt,t_max,plv_window_seconds,k_ts,k_st,k_ss,r_mean_last,ts_plv_mean_last,ss_plv_mean_last,teacher_dominance_last,ts_distpi_mean_last,ss_distpi_mean_last,teacher_antiphase_dom_last
4,10,0.01,120.0,2.0,-1.0,-0.2,0.0,0.40591337589823967,0.9978706402643949,0.9959140861255419,0.001956554138852984,1.2794534033569618,1.8258276939268698,0.546374290569908
5,10,0.01,120.0,2.0,-1.0,-0.2,0.0,0.21339186004385424,0.9950594043390076,0.9936591174318069,0.0014002869072007318,1.197597127758316,1.547271292509067,0.3496741647507511
1,10,0.01,120.0,2.0,-1.0,0.0,-0.2,0.29941748388232325,0.9984710803904768,0.9966776772627813,0.001793403127695492,0.8925638534951312,1.7879896348285,0.8954257813333688
2,10,0.01,120.0,2.0,-1.0,0.0,-0.2,0.1325692801296911,0.995085722207506,0.9893283251519991,0.00575739705550693,1.314267301558018,1.4868972731780317,0.1726299716200137
3,10,0.01,120.0,2.0,-1.0,0.0,-0.2,0.1695549317285353,0.9713631613793524,0.9794396217902671,-0.008076460410914699,1.5981673858590484,1.4278503539678098,-0.1703170318912386
4,10,0.01,120.0,2.0,-1.0,0.0,-0.2,0.172370964748373,0.9972113836831433,0.9946049069649288,0.0026064767182145676,1.1852868452891088,1.781784972956848,0.5964981276677392
5,10,0.01,120.0,2.0,-1.0,0.0,-0.2,0.21185504444605271,0.9947149350632911,0.9938582425396196,0.0008566925236714873,1.2435374210799215,1.5599838382285254,0.3164464171486039
1,10,0.01,120.0,2.0,-1.0,0.0,0.0,0.5597783331787862,0.9990466961890905,0.9981959476094354,0.0008507485796550585,0.5731743919383478,2.165937566550799,1.5927631746124513
2,10,0.01,120.0,2.0,-1.0,0.0,0.0,0.1788851237478081,0.9938243433200722,0.986541725276735,0.007282618043337186,1.0593209631603193,1.6721470749156178,0.6128261117552984
3,10,0.01,120.0,2.0,-1.0,0.0,0.0,0.22652185816565445,0.9673152021750612,0.9774278010172386,-0.010112598842177412,1.8004965598533058,1.538784309550019,-0.2617122503032867
4,10,0.01,120.0,2.0,-1.0,0.0,0.0,0.3048987802302078,0.9960516777880686,0.9916528993431292,0.004398778444939411,1.196804113033767,1.9373688616644476,0.7405647486306806
5,10,0.01,120.0,2.0,-1.0,0.0,0.0,0.2628740333059403,0.9945709322811943,0.9941220120975883,0.00044892018360598307,1.379385971319681,1.4668589147014623,0.08747294338178135
1,10,0.01,120.0,2.0,-0.8,-0.4,-0.2,0.2644192873537666,0.9981007203186312,0.9969406298482056,0.0011600904704255344,1.2279220193598328,1.531485321660336,0.3035633023005031
2,10,0.01,120.0,2.0,-0.8,-0.4,-0.2,0.1004935532834784,0.9959786991839736,0.9912419863388223,0.004736712845151314,1.5332515711742025,1.424382294525948,-0.10886927664825463
3,10,0.01,120.0,2.0,-0.8,-0.4,-0.2,0.16128714787046938,0.977760369667252,0.9844409255741322,-0.0066805559068802145,1.4959963442412925,1.486497352657902,-0.009498991583390515
4,10,0.01,120.0,2.0,-0.8,-0.4,-0.2,0.13500779280594372,0.996961591558615,0.9933883858920508,0.003573205666564161,1.164180411823737,1.64831753042309,0.4841371185993528
5,10,0.01,120.0,2.0,-0.8,-0.4,-0.2,0.18957733357523324,0.9943838655305208,0.9938725598892285,0.0005113056412923145,1.080670000945086,1.5997412173230678,0.5190712163779818
1,10,0.01,120.0,2.0,-0.8,-0.4,0.0,0.490675293445292,0.9983362330041403,0.9973790576293422,0.0009571753747981138,0.8500617944448056,1.8265538322204637,0.9764920377756582
2,10,0.01,120.0,2.0,-0.8,-0.4,0.0,0.24294708107412927,0.9954175654643395,0.9901076981649052,0.005309867299434279,1.1501319460274744,1.590856223874805,0.4407242778473306
3,10,0.01,120.0,2.0,-0.8,-0.4,0.0,0.3020862655914665,0.9549509481091996,0.979171882331569,-0.024220934222369483,1.556637428825277,1.5757715685268923,0.01913413970161537
4,10,0.01,120.0,2.0,-0.8,-0.4,0.0,0.3212302372158677,0.9967102971227592,0.9929472985468137,0.00376299857594542,0.6006881079571671,2.3110520050203385,1.7103638970631714
5,10,0.01,120.0,2.0,-0.8,-0.4,0.0,0.2989477431133048,0.9961118203351681,0.994056428401319,0.002055391933849071,0.9009702711586695,1.8110686383650678,0.9100983672063984
1,10,0.01,120.0,2.0,-0.8,-0.2,-0.2,0.16485352726036473,0.9987956777416036,0.9973848381534584,0.0014108395881452518,1.179277107201805,1.5722496940584827,0.3929725868566778
2,10,0.01,120.0,2.0,-0.8,-0.2,-0.2,0.1108371202876493,0.9952886282224955,0.9897529257428891,0.005535702479606441,1.5373770430853095,1.4457912844160747,-0.0915857586692348
3,10,0.01,120.0,2.0,-0.8,-0.2,-0.2,0.16384470661061018,0.9718521975816186,0.9795726952461337,-0.0077204976645151024,1.5011868142372031,1.4558147505616184,-0.04537206367558477
4,10,0.01,120.0,2.0,-0.8,-0.2,-0.2,0.18392190664088123,0.9972675157668853,0.9939821359104212,0.0032853798564641545,1.1656528291553556,1.6553999223612765,0.4897470932059209
5,10,0.01,120.0,2.0,-0.8,-0.2,-0.2,0.21214593323389744,0.995230998460479,0.9931107986668307,0.002120199793648303,1.1317251596755147,1.6517247252076028,0.5199995655320881
1,10,0.01,120.0,2.0,-0.8,-0.2,0.0,0.5101892845070036,0.9992052200301187,0.9984460126965655,0.000759207333553169,0.7697642563567132,1.924560319981172,1.1547960636244587
2,10,0.01,120.0,2.0,-0.8,-0.2,0.0,0.23006843577687638,0.9966958075365057,0.9930670237496816,0.0036287837868240747,1.4335644517926993,1.4916194221696368,0.05805497037693752
3,10,0.01,120.0,2.0,-0.8,-0.2,0.0,0.2253367667099233,0.9818643164134147,0.9835792595542022,-0.0017149431407875726,1.6635582910505295,1.6692809940763245,0.005722703025794917
4,10,0.01,120.0,2.0,-0.8,-0.2,0.0,0.32730323224946917,0.9962701950020454,0.9932760252229831,0.0029941697790623056,1.4140174882241237,1.9019505667328787,0.487933078508755
5,10,0.01,120.0,2.0,-0.8,-0.2,0.0,0.22388971966711155,0.9959395179565526,0.9928594440451434,0.003080073911409187,1.2555504394643322,1.5945278921567263,0.3389774526923941
1,10,0.01,120.0,2.0,-0.8,0.0,-0.2,0.24719459372389638,0.9983937823475127,0.9965439388882811,0.0018498434592316704,1.0785180415668707,1.692553156005257,0.6140351144383862
